#NUMBER OF AGES= 1 MAGS= 7
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2457 4.1669E-04 2.1210E-04  -1.90   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: PanSTARRS (AB)
#----------------------------------------------------       
#AGE=12.500 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1
  13  0.109635  3.5384  5.3395 -2.7547 11.9030 13.7750 12.3668 11.5629 11.2068 11.0298 12.2479
  14  0.120853  3.5454  5.2892 -2.6338 11.5833 13.3764 11.9934 11.2491 10.9129 10.7404 11.9068
  15  0.133801  3.5527  5.2396 -2.5107 11.2572 12.9735 11.6196 10.9287 10.6119 10.4445 11.5606
  16  0.148116  3.5597  5.1969 -2.3959 10.9529 12.6001 11.2768 10.6296 10.3298 10.1675 11.2391
  17  0.162553  3.5659  5.1643 -2.2986 10.6954 12.2848 10.9909 10.3764 10.0904  9.9326 10.9682
  18  0.175925  3.5708  5.1390 -2.2191 10.4854 12.0285 10.7604 10.1698  9.8941  9.7402 10.7480
  19  0.188548  3.5749  5.1174 -2.1512 10.3066 11.8120 10.5666  9.9939  9.7262  9.5754 10.5614
  20  0.201314  3.5784  5.0971 -2.0884 10.1424 11.6153 10.3904  9.8323  9.5711  9.4231 10.3908
  21  0.214943  3.5817  5.0774 -2.0272  9.9832 11.4260 10.2210  9.6756  9.4201  9.2745 10.2258
  22  0.229740  3.5848  5.0584 -1.9668  9.8265 11.2404 10.0552  9.5213  9.2710  9.1278 10.0638
  23  0.245721  3.5879  5.0405 -1.9074  9.6726 11.0584  9.8931  9.3698  9.1244  8.9835  9.9051
  24  0.263131  3.5910  5.0233 -1.8481  9.5192 10.8765  9.7322  9.2191  8.9782  8.8396  9.7470
  25  0.282670  3.5941  5.0064 -1.7875  9.3631 10.6908  9.5687  9.0656  8.8292  8.6929  9.5860
  26  0.298275  3.5964  4.9943 -1.7428  9.2477 10.5537  9.4483  8.9522  8.7190  8.5846  9.4673
  27  0.308183  3.5978  4.9874 -1.7163  9.1792 10.4725  9.3768  8.8849  8.6536  8.5202  9.3967
  28  0.314909  3.5986  4.9834 -1.6993  9.1356 10.4209  9.3314  8.8420  8.6119  8.4792  9.3519
  29  0.319645  3.5993  4.9806 -1.6876  9.1052 10.3850  9.2998  8.8122  8.5830  8.4507  9.3206
  30  0.323387  3.5997  4.9790 -1.6789  9.0825 10.3577  9.2761  8.7901  8.5615  8.4297  9.2973
  31  0.326724  3.6002  4.9771 -1.6707  9.0611 10.3319  9.2536  8.7689  8.5410  8.4096  9.2751
  32  0.329762  3.6007  4.9747 -1.6625  9.0400 10.3067  9.2317  8.7483  8.5209  8.3899  9.2534
  33  0.333875  3.6012  4.9725 -1.6525  9.0140 10.2756  9.2045  8.7227  8.4962  8.3656  9.2266
  34  0.337485  3.6018  4.9692 -1.6426  8.9883 10.2453  9.1780  8.6976  8.4717  8.3414  9.2003
  35  0.342371  3.6025  4.9652 -1.6296  8.9550 10.2059  9.1433  8.6647  8.4397  8.3100  9.1660
  36  0.346673  3.6029  4.9610 -1.6181  8.9257 10.1723  9.1145  8.6361  8.4111  8.2817  9.1365
  37  0.356823  3.6043  4.9508 -1.5896  8.8520 10.0856  9.0380  8.5636  8.3404  8.2122  9.0608
  38  0.377746  3.6084  4.9282 -1.5261  8.6860  9.8838  8.8634  8.4011  8.1837  8.0589  8.8888
  39  0.397904  3.6133  4.9055 -1.4614  8.5154  9.6725  8.6838  8.2347  8.0240  7.9032  8.7116
  40  0.417014  3.6184  4.8819 -1.3967  8.3444  9.4595  8.5032  8.0681  7.8645  7.7482  8.5335
  41  0.436034  3.6245  4.8568 -1.3278  8.1611  9.2287  8.3089  7.8901  7.6951  7.5837  8.3419
  42  0.450994  3.6300  4.8371 -1.2712  8.0096  9.0347  8.1473  7.7435  7.5565  7.4498  8.1828
  43  0.462237  3.6348  4.8226 -1.2267  7.8895  8.8774  8.0183  7.6280  7.4483  7.3456  8.0560
  44  0.471811  3.6395  4.8104 -1.1872  7.7821  8.7345  7.9024  7.5252  7.3524  7.2535  7.9421
  45  0.480636  3.6442  4.7997 -1.1499  7.6807  8.5987  7.7931  7.4286  7.2625  7.1674  7.8346
  46  0.488907  3.6487  4.7902 -1.1146  7.5846  8.4689  7.6891  7.3371  7.1777  7.0865  7.7322
  47  0.496867  3.6533  4.7815 -1.0807  7.4919  8.3432  7.5888  7.2492  7.0965  7.0091  7.6334
  48  0.504589  3.6579  4.7737 -1.0478  7.4018  8.2208  7.4915  7.1640  7.0180  6.9344  7.5375
  49  0.511905  3.6625  4.7667 -1.0162  7.3153  8.1025  7.3978  7.0825  6.9430  6.8634  7.4450
  50  0.518976  3.6672  4.7606 -0.9851  7.2301  7.9862  7.3060  7.0024  6.8696  6.7939  7.3541
  51  0.526147  3.6722  4.7546 -0.9532  7.1433  7.8687  7.2128  6.9206  6.7943  6.7227  7.2615
  52  0.530286  3.6751  4.7511 -0.9348  7.0932  7.8018  7.1593  6.8735  6.7507  6.6815  7.2083
  53  0.534467  3.6780  4.7477 -0.9163  7.0429  7.7350  7.1057  6.8259  6.7068  6.6401  7.1548
  54  0.538716  3.6810  4.7441 -0.8974  6.9919  7.6678  7.0515  6.7778  6.6623  6.5980  7.1009
  55  0.543055  3.6840  4.7405 -0.8782  6.9403  7.6004  6.9968  6.7292  6.6171  6.5553  7.0463
  56  0.547491  3.6871  4.7367 -0.8586  6.8878  7.5322  6.9412  6.6796  6.5712  6.5119  6.9909
  57  0.552030  3.6902  4.7327 -0.8386  6.8346  7.4636  6.8849  6.6292  6.5243  6.4676  6.9347
  58  0.556638  3.6934  4.7287 -0.8182  6.7808  7.3947  6.8280  6.5783  6.4769  6.4227  6.8780
  59  0.561266  3.6966  4.7247 -0.7977  6.7269  7.3258  6.7710  6.5274  6.4296  6.3778  6.8212
  60  0.565903  3.6998  4.7207 -0.7772  6.6731  7.2570  6.7142  6.4766  6.3824  6.3333  6.7644
  61  0.570527  3.7031  4.7166 -0.7566  6.6197  7.1889  6.6578  6.4263  6.3357  6.2891  6.7082
  62  0.575115  3.7063  4.7124 -0.7362  6.5671  7.1220  6.6023  6.3766  6.2895  6.2454  6.6527
  63  0.579663  3.7094  4.7082 -0.7160  6.5152  7.0568  6.5479  6.3276  6.2438  6.2021  6.5983
  64  0.584151  3.7125  4.7039 -0.6960  6.4644  6.9933  6.4946  6.2796  6.1988  6.1595  6.5450
  65  0.588567  3.7155  4.6996 -0.6764  6.4147  6.9313  6.4424  6.2325  6.1548  6.1177  6.4928
  66  0.592911  3.7184  4.6951 -0.6570  6.3660  6.8708  6.3916  6.1866  6.1117  6.0768  6.4419
  67  0.597176  3.7212  4.6905 -0.6381  6.3184  6.8120  6.3419  6.1416  6.0695  6.0367  6.3921
  68  0.601365  3.7240  4.6859 -0.6194  6.2719  6.7547  6.2934  6.0976  6.0282  5.9974  6.3435
  69  0.605473  3.7267  4.6812 -0.6011  6.2264  6.6988  6.2459  6.0546  5.9879  5.9590  6.2961
  70  0.609509  3.7293  4.6764 -0.5831  6.1819  6.6441  6.1995  6.0125  5.9482  5.9212  6.2495
  71  0.613478  3.7318  4.6715 -0.5653  6.1382  6.5907  6.1540  5.9711  5.9092  5.8841  6.2039
  72  0.617380  3.7343  4.6665 -0.5477  6.0953  6.5384  6.1094  5.9305  5.8711  5.8476  6.1592
  73  0.621211  3.7367  4.6616 -0.5304  6.0531  6.4872  6.0657  5.8906  5.8335  5.8116  6.1153
  74  0.624973  3.7390  4.6565 -0.5134  6.0118  6.4372  6.0227  5.8514  5.7965  5.7764  6.0723
  75  0.628672  3.7413  4.6514 -0.4966  5.9711  6.3880  5.9806  5.8130  5.7601  5.7415  6.0299
  76  0.632312  3.7435  4.6462 -0.4801  5.9310  6.3399  5.9391  5.7749  5.7242  5.7071  5.9883
  77  0.635885  3.7456  4.6409 -0.4638  5.8917  6.2926  5.8984  5.7377  5.6889  5.6733  5.9474
  78  0.639399  3.7477  4.6355 -0.4476  5.8529  6.2461  5.8583  5.7011  5.6543  5.6400  5.9072
  79  0.642853  3.7497  4.6301 -0.4318  5.8149  6.2001  5.8189  5.6653  5.6205  5.6075  5.8676
  80  0.646249  3.7517  4.6247 -0.4161  5.7776  6.1549  5.7802  5.6301  5.5873  5.5755  5.8287
  81  0.649579  3.7536  4.6192 -0.4007  5.7407  6.1106  5.7421  5.5954  5.5544  5.5440  5.7905
  82  0.654339  3.7564  4.6111 -0.3785  5.6878  6.0475  5.6874  5.5453  5.5069  5.4982  5.7355
  83  0.659076  3.7590  4.6026 -0.3562  5.6346  5.9850  5.6327  5.4947  5.4588  5.4518  5.6806
  84  0.663779  3.7616  4.5938 -0.3339  5.5814  5.9228  5.5780  5.4440  5.4105  5.4052  5.6256
  85  0.668444  3.7642  4.5848 -0.3117  5.5282  5.8608  5.5233  5.3934  5.3622  5.3585  5.5707
  86  0.673062  3.7667  4.5755 -0.2894  5.4751  5.7991  5.4688  5.3428  5.3139  5.3117  5.5159
  87  0.677628  3.7692  4.5661 -0.2671  5.4222  5.7378  5.4145  5.2923  5.2657  5.2649  5.4613
  88  0.682133  3.7716  4.5565 -0.2450  5.3694  5.6769  5.3604  5.2420  5.2176  5.2183  5.4069
  89  0.686570  3.7739  4.5467 -0.2230  5.3169  5.6164  5.3065  5.1919  5.1698  5.1718  5.3529
  90  0.690933  3.7763  4.5369 -0.2010  5.2647  5.5563  5.2531  5.1422  5.1222  5.1256  5.2990
  91  0.695210  3.7786  4.5271 -0.1792  5.2129  5.4966  5.2000  5.0928  5.0749  5.0796  5.2458
  92  0.699391  3.7809  4.5171 -0.1575  5.1614  5.4377  5.1474  5.0437  5.0279  5.0340  5.1928
  93  0.703475  3.7832  4.5071 -0.1360  5.1103  5.3793  5.0951  4.9950  4.9812  4.9886  5.1403
  94  0.707447  3.7853  4.4970 -0.1147  5.0597  5.3214  5.0432  4.9466  4.9349  4.9434  5.0882
